Order_ID,Order_Date,Branch_ID,Aggregator_ID,Product_ID,Order_Type,Quantity,Gross_Sales,Discount,Commission,Net_Sales
CB-1002,2026-07-03,4,1,1,Delivery,1,12,0.0,3.0,9.0
CB-1032,2026-07-04,2,2,2,Delivery,3,45,0.0,9.9,35.1
CB-1020,2026-07-05,2,4,3,Dine-in,4,40,6.0,0.0,34.0
CB-1030,2026-07-06,3,4,4,Dine-in,5,50,0.0,0.0,50.0
CB-1023,2026-07-06,4,1,5,Delivery,6,48,2.4,11.4,34.2
CB-1016,2026-07-07,3,2,6,Delivery,4,112,11.2,22.18,78.62
CB-1012,2026-07-07,3,1,7,Delivery,6,120,0.0,30.0,90.0
CB-1034,2026-07-08,1,1,8,Delivery,3,48,0.0,12.0,36.0
CB-1001,2026-07-08,2,1,6,Delivery,6,168,25.2,35.7,107.1
CB-1003,2026-07-08,1,2,5,Delivery,6,48,7.2,8.98,31.82
CB-1007,2026-07-12,3,3,9,Delivery,1,12,1.2,2.16,8.64
CB-1011,2026-07-13,3,4,10,Takeaway,3,42,2.1,0.0,39.9
CB-1004,2026-07-14,2,4,9,Takeaway,1,12,0.0,0.0,12.0
CB-1021,2026-07-15,3,1,6,Delivery,6,168,0.0,42.0,126.0
CB-1024,2026-07-17,2,1,8,Delivery,6,96,4.8,22.8,68.4
CB-1019,2026-07-17,4,1,9,Delivery,1,12,0.0,3.0,9.0
CB-1013,2026-07-18,2,2,12,Delivery,4,88,4.4,18.39,65.21
CB-1008,2026-07-18,1,4,11,Dine-in,3,72,10.8,0.0,61.2
CB-1033,2026-07-19,2,2,1,Delivery,1,12,0.0,2.64,9.36
CB-1000,2026-07-21,1,1,5,Delivery,3,24,0.0,6.0,18.0
CB-1022,2026-07-22,3,3,2,Delivery,3,45,4.5,8.1,32.4
CB-1010,2026-07-22,2,3,2,Delivery,2,30,0.0,6.0,24.0
CB-1031,2026-07-23,3,4,12,Takeaway,5,110,11.0,0.0,99.0
CB-1005,2026-07-23,4,3,13,Delivery,2,26,0.0,5.2,20.8
CB-1018,2026-07-24,3,4,14,Takeaway,2,32,0.0,0.0,32.0
CB-1029,2026-07-25,2,2,6,Delivery,4,112,16.8,20.94,74.26
CB-1015,2026-07-27,1,3,3,Delivery,3,30,0.0,6.0,24.0
CB-1025,2026-07-27,2,2,14,Delivery,2,32,4.8,5.98,21.22
CB-1009,2026-07-29,3,2,5,Delivery,1,8,0.0,1.76,6.24
CB-1028,2026-07-29,1,1,5,Delivery,4,32,0.0,8.0,24.0
CB-1017,2026-07-29,4,2,13,Delivery,2,26,0.0,5.72,20.28
CB-1014,2026-07-30,2,3,8,Delivery,1,16,0.0,3.2,12.8
CB-1027,2026-07-30,3,3,15,Delivery,1,12,0.0,2.4,9.6
CB-1026,2026-07-31,1,3,12,Delivery,1,22,0.0,4.4,17.6
CB-1006,2026-07-31,3,1,2,Delivery,4,60,0.0,15.0,45.0
