Order_ID,Date,Branch,Product,Category,Aggregator,Order_Type,Quantity,Gross_Sales,Discount,Commission,Net_Sales
CB-2000,2026-06-01,Karama,Masala Chai,Beverages,Direct,Takeaway,5,40,0.0,0.0,40.0
CB-2001,2026-06-01,Karama,Aloo Tikki Chaat,Chaat,Careem,Delivery,2,32,0.0,7.04,24.96
CB-2002,2026-06-01,Karama,Vada Pav,Snacks,Direct,Dine-in,6,60,0.0,0.0,60.0
CB-2003,2026-06-01,Karama,Mango Lassi,Beverages,Talabat,Delivery,4,48,0.0,12.0,36.0
CB-2004,2026-06-01,Muweilah,Pani Puri,Chaat,Careem,Delivery,4,48,0.0,10.56,37.44
CB-2005,2026-06-01,Muweilah,Gulab Jamun,Desserts,Noon,Delivery,1,10,0.0,2.0,8.0
CB-2006,2026-06-01,Muweilah,Pav Bhaji,Mains,Talabat,Delivery,5,110,0.0,27.5,82.5
CB-2007,2026-06-01,Muweilah,Dahi Puri,Chaat,Careem,Delivery,2,28,0.0,6.16,21.84
CB-2008,2026-06-01,Muweilah,Mango Lassi,Beverages,Careem,Delivery,4,48,0.0,10.56,37.44
CB-2009,2026-06-01,JVC,Samosa Chaat,Chaat,Noon,Delivery,5,75,0.0,15.0,60.0
CB-2010,2026-06-01,JVC,Masala Chai,Beverages,Talabat,Delivery,5,40,2.0,9.5,28.5
CB-2011,2026-06-01,JVC,Pav Bhaji,Mains,Noon,Delivery,4,88,0.0,17.6,70.4
CB-2012,2026-06-02,Karama,Chole Bhature,Mains,Noon,Delivery,5,120,0.0,24.0,96.0
CB-2013,2026-06-02,Karama,Dahi Puri,Chaat,Careem,Delivery,2,28,0.0,6.16,21.84
CB-2014,2026-06-02,Karama,Bhel Puri,Chaat,Direct,Dine-in,5,60,0.0,0.0,60.0
CB-2015,2026-06-02,Karama,Paneer Tikka,Mains,Talabat,Delivery,1,28,1.4,6.65,19.95
CB-2016,2026-06-02,Muweilah,Pani Puri,Chaat,Talabat,Delivery,4,48,2.4,11.4,34.2
CB-2017,2026-06-02,Muweilah,Samosa Chaat,Chaat,Careem,Delivery,6,90,0.0,19.8,70.2
CB-2018,2026-06-02,Muweilah,Vada Pav,Snacks,Noon,Delivery,4,40,0.0,8.0,32.0
CB-2019,2026-06-02,JVC,Samosa Chaat,Chaat,Talabat,Delivery,3,45,4.5,10.12,30.38
CB-2020,2026-06-02,JVC,Bhel Puri,Chaat,Noon,Delivery,6,72,10.8,12.24,48.96
CB-2021,2026-06-02,Barsha,Falooda,Desserts,Talabat,Delivery,1,16,0.0,4.0,12.0
CB-2022,2026-06-02,Barsha,Masala Dosa,Mains,Talabat,Delivery,3,60,0.0,15.0,45.0
CB-2023,2026-06-02,Barsha,Masala Chai,Beverages,Direct,Takeaway,3,24,0.0,0.0,24.0
CB-2024,2026-06-02,Deira,Pani Puri,Chaat,Noon,Delivery,2,24,0.0,4.8,19.2
